Audiofile,OptionA,OptionB,item,Group,RespostaEsperada
13V1.wav,A. A irm&atilde; da K&aacute;tia admitiu algo antes da venda da casa.,B. O Maur&iacute;cio tinha falido antes da venda da casa.,1321,C,B
14V2.wav,A. A Larissa fugiu para algum lugar na 1ª semana de mar&ccedil;o.,B. O pai de Rubens entendeu algo na 1ª semana de mar&ccedil;o.,1422,C,A
15SOV1.wav,A. A colega da Carla anunciou algo na reuni&atilde;o do partido.,B. O Fernando foi eleito para um cargo na reuni&atilde;o do partido.,1511,C,B
16SOV2.wav,A. A Elisa se mudou para algum lugar depois da festa de junho.,B. O av&ocirc; de Pedro mencionou algo depois da festa de junho.,1612,C,A
17V1.wav,A. A professora da Ana revelou algo depois das f&eacute;rias de fevereiro.,B. O Bruno tinha se formado depois das f&eacute;rias de fevereiro.,1721,C,B
18V2.wav,A. A Mariana escapou para algum lugar durante o interrogat&oacute;rio.,B. O chefe do Tales afirmou algo durante o interrogat&oacute;rio.,1822,C,A
19SOV1.wav,A. O pai de Tiago declarou algo depois da contrata&ccedil;&atilde;o na firma.,B. A Rafaela se casou com algu&eacute;m depois da contrata&ccedil;&atilde;o na firma.,1911,C,B
20SOV2.wav,A. O Jaime sofreu um surto durante a prova de f&iacute;sica.,B. A colega da Paula ouviu algo sobre Jaime durante a prova de f&iacute;sica.,2012,C,A
21D.wav,A. O Jairo lia as mensagens.,B. O Jairo escrevia as mensagens.,1,D,D
22D.wav,A. As crian&ccedil;as comeram os morangos.,B. As crian&ccedil;as comeram a merenda.,2,D,D
23D.wav,A. As flores cresciam no jardim.,B. As &aacute;rvores cresciam no jardim.,3,D,D
24D.wav,A. O L&eacute;o fez seu dever sozinho.,B. O Carlos fez seu dever sozinho.,4,D,D
25D.wav,A. O professor aprovou o Lucas.,B. O professor aprovou o Davi.,5,D,D
26D.wav,A. A Laura se defendeu do assalto.,B. A Bia se defendeu do assalto.,6,D,D
27D.wav,A. A Maria gostava de ouvir m&uacute;sica.,B. A Maria gostava de assistir novela.,7,D,D
28D.wav,A. A turma toda era estudiosa.,B. A maioria da turma era estudiosa.,8,D,D
29D.wav,A. A Raquel guardou a mala no quarto de h&oacute;spedes.,B. O Luiz guardou a mala no quarto de h&oacute;spedes.,9,D,D
31D.wav,A. O detetive estava com a maleta de dinheiro.,B. O ladr&atilde;o estava com a maleta de dinheiro.,11,D,D
32D.wav,A. O jovem estava armado.,B. O policial estava armado.,12,D,D
33D.wav,A. A professora desenhou com o giz de cera.,B. A crian&ccedil;a segurava o giz de cera.,13,D,D
34D.wav,A. A celebridade dirigia a motocicleta.,B. O rep&oacute;rter dirigia a motocicleta.,14,D,D
36D.wav,A. A Manuela gosta do Pedro.,B. A Manuela gosta do Rodrigo.,16,D,D
37D.wav,A. Daniel e Camila dormem cedo.,B. Daniel e Camila acordam cedo.,17,D,D
38D.wav,A. O beb&ecirc; chora quando est&aacute; com sono.,B. O beb&ecirc; chora quando est&aacute; com fome.,18,D,D
39D.wav,A. A av&oacute; de Roberta bordava quadros.,B. A av&oacute; de Roberta pintava quadros.,19,D,D
40D.wav,A. Paula e J&eacute;ssica v&atilde;o se formar.,B. Paula e J&eacute;ssica v&atilde;o trabalhar.,20,D,D
41D.wav,A. A irm&atilde; de Pedrinho quer ser astr&oacute;loga.,B. A irm&atilde; de Pedrinho quer ser astronauta.,21,D,D
43D.wav,A. O com&eacute;rcio fecha cedo no interior.,B. O com&eacute;rcio abre cedo no interior.,23,D,D
44D.wav,A. A secret&aacute;ria era desastrada.,B. A secret&aacute;ria era esfor&ccedil;ada.,24,D,D
01V2.wav,A. O M&aacute;rio ligou para algu&eacute;m no domingo.,B. A tia da Sabrina soube algo sobre o M&aacute;rio no domingo.,122,D,A
02SOV1.wav,A. A amiga da Sandy descobriu algo sobre o Paulo na segunda-feira.,B. O Paulo retornou para algum lugar na segunda-feira.,211,D,B
03SOV2.wav,A. A La&iacute;s brigou com algu&eacute;m depois da reuni&atilde;o.,B. O primo do Bruno declarou algo sobre a La&iacute;s depois da reuni&atilde;o.,312,D,A
04V1.wav,A. O tio de Guilherme afirmou algo sobre a Renata depois do fim do semestre.,B. A Renata partiu para algum lugar depois do fim do semestre.,421,D,B
05V2.wav,A. A Maria nasceu em meados do m&ecirc;s de janeiro.,B. O amigo do Luiz descobriu algo sobre a Maria em janeiro.,522,D,A
06SOV1.wav,A. A m&atilde;e da Marta insistiu sobre algo durante uma longa conversa.,B. O Danilo errou sobre algo durante uma longa conversa.,611,D,B
07SOV2.wav,A. O Jairo roubou algo no encontro com o delegado.,B. A chefe da Carla denunciou algo no encontro com o delegado.,712,D,A
08V1.wav,A. O irm&atilde;o de Lucas admitiu algo depois de uma longa discuss&atilde;o.,B. A J&uacute;lia saiu para algum lugar depois de uma longa discuss&atilde;o.,821,D,B
09V2.wav,A. O Marcos havia sumido durante o julgamento do r&eacute;u.,B. A amiga da Laura testemunhou algo duarante o julgamento do r&eacute;u.,922,D,A
10SOV1.wav,A. A colega da L&uacute;cia confirmou algo no in&iacute;cio do m&ecirc;s de setembro.,B. O J&uacute;lio renunciou ao cargo no in&iacute;cio do m&ecirc;s de setembro.,1011,D,B
11SOV2.wav,A. A Marcela mentiu sobre algo no of&iacute;cio entregue ao s&oacute;cio.,B. O chefe do Alex afirmou algo no of&iacute;cio entregue ao s&oacute;cio.,1112,D,A
12V1.wav,A. A madrinha de Lia disse algo sobre o Jonas no encontro com os parentes.,B. O Jonas chorou por algum motivo no encontro com os parentes.,1221,D,B
13V2.wav,A. O Maur&iacute;cio tinha falido antes da venda da casa.,B. A irm&atilde; da K&aacute;tia admitiu algo antes da venda da casa.,1322,D,A
14SOV1.wav,A. O pai de Rubens entendeu algo na 1ª semana de mar&ccedil;o.,B. A Larissa fugiu para algum lugar na 1ª semana de mar&ccedil;o.,1411,D,B
15SOV2.wav,A. O Fernando foi eleito para um cargo na reuni&atilde;o do partido.,B. A colega da Carla anunciou algo na reuni&atilde;o do partido.,1512,D,A
16V1.wav,A. O av&ocirc; de Pedro mencionou algo depois da festa de junho.,B. A Elisa se mudou para algum lugar depois da festa de junho.,1621,D,B
17V2.wav,A. O Bruno tinha se formado depois das f&eacute;rias de fevereiro.,B. A professora da Ana revelou algo depois das f&eacute;rias de fevereiro.,1722,D,A
18SOV1.wav,A. O chefe do Tales afirmou algo durante o interrogat&oacute;rio.,B. A Mariana escapou para algum lugar durante o interrogat&oacute;rio.,1811,D,B
19SOV2.wav,A. A Rafaela se casou com algu&eacute;m depois da contrata&ccedil;&atilde;o na firma.,B. O pai de Tiago declarou algo depois da contrata&ccedil;&atilde;o na firma.,1912,D,A
20V1.wav,A. A colega da Paula ouviu algo sobre Jaime durante a prova de f&iacute;sica.,B. O Jaime sofreu um surto durante a prova de f&iacute;sica.,2021,D,B
